Config,Version,GFLOPS,L1,L2,L3,Mem,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,Version,GFLOPS,L1,L2,L3,Mem,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,Version,GFLOPS,L1,L2,L3,Mem,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize,Version,GFLOPS,L1,L2,L3,Mem,L1DataSetSize,L2DataSetSize,L3DataSetSize,MemDataSetSize
100 56 56 64 256 1 1 0 0 1,2,1486.6,5,2,0,3,34592,89608,0,6475784,3,1619.7,5,4,0,1,34592,333328,0,4007936,4,1490,5,2,0,3,34592,89608,0,6475784,5,1576.4,5,4,0,1,34592,333328,0,4007936
100 56 56 64 64 1 1 0 0 1,2,1667.9,5,2,0,1,34592,89608,0,1593344,3,1720.1,5,2,0,1,34592,89608,0,1593344,4,1713,5,2,0,1,34592,89608,0,1593344,5,1730.1,5,2,0,1,34592,89608,0,1593344
100 56 56 64 64 3 3 1 1 1,2,2571.8,5,10,0,1,34592,952080,0,1782272,3,2582.1,5,10,0,1,34592,952080,0,1782272,4,2390.1,5,2,0,9,34592,89608,0,14794248,5,2399.2,5,2,0,9,34592,89608,0,14794248
100 56 56 256 64 1 1 0 0 1,2,1505,5,2,0,3,34592,89608,0,6475784,3,1492.1,5,4,0,1,34592,333328,0,4007936,4,1466.3,5,2,0,3,34592,89608,0,6475784,5,1506.8,5,2,0,3,34592,89608,0,6475784
100 28 28 256 512 1 1 0 0 1,2,2306.8,7,3,1,1,95528,1673224,1069064,2666496,3,2053.7,7,4,0,1,95528,1327120,0,2846720,4,2304.6,7,3,1,1,95528,1673224,1069064,2666496,5,2115,7,2,0,3,95528,367624,0,6411272
100 28 28 256 128 1 1 0 0 1,2,2166.5,7,3,2,0,95528,1673224,2138112,0,3,2242.9,7,4,1,0,95528,454664,1292288,0,4,2200.5,7,3,2,0,95528,1673224,2138112,0,5,2254.5,8,3,1,0,126240,1302544,1101824,0
100 28 28 128 128 3 3 1 1 1,2,2687.9,9,11,0,0,155940,4285196,0,0,3,2685.8,8,11,1,0,126240,2774032,1422336,0,4,2679.3,7,13,0,0,95528,8680456,0,0,5,2669.4,8,12,0,0,126240,7995152,0,0
100 28 28 128 512 1 1 0 0 1,2,2349.6,7,4,0,1,95528,1873928,0,2035712,3,1922.5,8,3,0,1,126240,682000,0,2197504,4,2382,7,4,0,1,95528,1873928,0,2035712,5,2066.1,7,2,0,3,95528,367624,0,5747712
100 28 28 512 128 1 1 0 0 1,2,2057.8,7,2,0,3,95528,821256,0,5595136,3,2070.4,7,4,0,1,95528,897032,0,2197504,4,2069.7,7,2,0,3,95528,821256,0,5595136,5,2160.1,8,3,0,1,126240,1302544,0,2035712
100 14 14 512 1024 1 1 0 0 1,2,2557.6,7,4,0,1,81192,1325072,0,3120128,3,2071,7,2,0,3,81192,306696,0,7447048,4,2562.2,7,4,0,1,81192,1325072,0,3120128,5,1970.5,7,2,2,1,81192,626184,2169352,2989056
100 14 14 512 256 1 1 0 0 1,2,2406.2,7,5,0,0,81192,2270224,0,0,3,2473.8,7,4,1,0,81192,1306640,1083392,0,4,2444.1,7,5,0,0,81192,2270224,0,0,5,2406.1,7,5,0,0,81192,1772560,0,0
100 14 14 256 256 3 3 1 1 1,2,2561.2,9,10,0,1,127268,2700572,0,2182144,3,2130.9,7,8,0,5,81192,2805780,0,10074116,4,2648.8,7,12,0,1,81192,4765720,0,2182144,5,2521.7,7,12,0,1,81192,4632344,0,2166784
100 14 14 256 1024 1 1 0 0 1,2,2525.3,7,4,0,1,81192,792592,0,1936384,3,2052.2,7,2,2,1,81192,146952,2171400,1980416,4,2535.9,7,4,0,1,81192,792592,0,1936384,5,2002.6,7,2,2,1,81192,626184,2169352,1739776
100 14 14 1024 256 1 1 0 0 1,2,2395.5,7,3,1,1,81192,1274888,1115144,1739776,3,2055.4,7,3,1,1,81192,1480712,1120264,1980416,4,2413.8,7,3,1,1,81192,1274888,1115144,1739776,5,2376.6,7,4,0,1,81192,761872,0,1936384
100 7 7 1024 2048 1 1 0 0 1,2,2282,7,4,0,1,74024,1001232,0,8716032,3,1584.9,7,2,0,3,74024,567048,0,25590024,4,2273.7,7,4,0,1,74024,1001232,0,8716032,5,1470.8,7,4,0,1,74024,2966032,0,8453888
100 7 7 1024 512 1 1 0 0 1,2,2275.3,7,4,0,1,74024,1001232,0,2123520,3,1182.3,7,2,0,3,74024,567048,0,6371592,4,2147.1,7,4,0,1,74024,1001232,0,2123520,5,1813.5,7,4,0,1,74024,748048,0,2254592
100 7 7 512 512 3 3 1 1 1,2,2077.6,9,8,2,1,112932,917524,2547976,8511232,3,1466.4,7,3,2,8,74024,1220616,2150404,45504524,4,2273.5,7,11,1,1,74024,3893776,1358088,8511232,5,1923.4,7,11,1,1,74024,4096528,1300744,8503040
100 7 7 512 2048 1 1 0 0 1,2,2318.6,7,4,0,1,74024,538384,0,4552448,3,1508.8,7,2,0,3,74024,276232,0,13023496,4,2253.4,7,4,0,1,74024,538384,0,4552448,5,1304.4,7,4,0,1,74024,2966032,0,4159232
100 7 7 2048 512 1 1 0 0 1,2,2227.1,7,4,0,1,74024,1926928,0,4159232,3,1332.8,7,2,0,3,74024,1148680,0,12630280,4,2263.2,7,4,0,1,74024,1926928,0,4159232,5,1848.2,7,4,0,1,74024,748048,0,4552448